host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,ambient,label
1783335103750540000,111584,72204,188541,141442,176602,1334,truth
1783335103750540000,111606,72192,188541,141442,176602,1334,truth
1783335103750540000,111606,72204,188541,141442,176602,1334,truth
1783335103750540000,111627,72216,188541,141442,176602,1334,truth
1783335103750540000,111627,72180,188541,141442,176602,1334,truth
1783335103750540000,111606,72240,188541,141442,176602,1334,truth
1783335103750540000,111606,72240,188541,141442,176602,1334,truth
1783335103750540000,111606,72216,188541,141442,176602,1334,truth
1783335103750540000,111627,72216,188541,141442,176602,1334,truth
1783335103750540000,111606,72216,188541,141442,176602,1334,truth
1783335103750540000,111606,72240,188541,141442,176602,1334,truth
1783335103750540000,111649,72252,188541,141442,176602,1334,truth
1783335103750540000,111627,72240,188541,141442,176602,1334,truth
1783335103750540000,111606,72228,188541,141442,176602,1334,truth
1783335103750540000,111649,72264,188541,141442,176602,1334,truth
1783335103750540000,111627,72240,188541,141442,176602,1334,truth
1783335103750540000,111627,72252,188541,141442,176602,1334,truth
1783335103790410000,111606,72240,188650,141502,176641,1344,truth
1783335103790410000,111606,72240,188650,141502,176641,1344,truth
1783335103790410000,111627,72204,188650,141502,176641,1344,truth
1783335103790410000,111649,72240,188650,141502,176641,1344,truth
1783335103790410000,111627,72264,188650,141502,176641,1344,truth
1783335103790410000,111671,72264,188650,141502,176641,1344,truth
1783335103790410000,111627,72277,188650,141502,176641,1344,truth
1783335103790410000,111627,72264,188650,141502,176641,1344,truth
1783335103790410000,111671,72277,188650,141502,176641,1344,truth
1783335103790410000,111649,72277,188650,141502,176641,1344,truth
1783335103790410000,111671,72289,188650,141502,176641,1344,truth
1783335103790410000,111649,72252,188650,141502,176641,1344,truth
1783335103790410000,111671,72277,188650,141502,176641,1344,truth
1783335103790410000,111649,72289,188650,141502,176641,1344,truth
1783335103790410000,111692,72301,188650,141502,176641,1344,truth
1783335103790410000,111671,72277,188650,141502,176641,1344,truth
1783335103790410000,111692,72289,188650,141502,176641,1344,truth
1783335103827840000,111692,72301,188756,141563,176796,1323,truth
1783335103827840000,111649,72325,188756,141563,176796,1323,truth
1783335103827840000,111671,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72301,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111714,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111649,72313,188756,141563,176796,1323,truth
1783335103827840000,111714,72325,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72301,188756,141563,176796,1323,truth
1783335103827840000,111692,72313,188756,141563,176796,1323,truth
1783335103827840000,111692,72301,188756,141563,176796,1323,truth
1783335103827840000,111714,72325,188756,141563,176796,1323,truth
1783335103872810000,111692,72337,188773,141578,176893,1402,truth
1783335103872810000,111671,72325,188773,141578,176893,1402,truth
1783335103872810000,111671,72325,188773,141578,176893,1402,truth
1783335103872810000,111714,72337,188773,141578,176893,1402,truth
1783335103872810000,111692,72325,188773,141578,176893,1402,truth
1783335103872810000,111714,72325,188773,141578,176893,1402,truth
1783335103872810000,111736,72325,188773,141578,176893,1402,truth
1783335103872810000,111714,72349,188773,141578,176893,1402,truth
1783335103872810000,111671,72349,188773,141578,176893,1402,truth
1783335103872810000,111714,72349,188773,141578,176893,1402,truth
1783335103872810000,111714,72337,188773,141578,176893,1402,truth
1783335103872810000,111692,72349,188773,141578,176893,1402,truth
1783335103872810000,111714,72361,188773,141578,176893,1402,truth
1783335103872810000,111671,72349,188773,141578,176893,1402,truth
1783335103872810000,111736,72349,188773,141578,176893,1402,truth
1783335103872810000,111714,72386,188773,141578,176893,1402,truth
1783335103872810000,111692,72349,188773,141578,176893,1402,truth
1783335103915100000,111692,72349,188917,141709,177071,1330,truth
1783335103915100000,111757,72361,188917,141709,177071,1330,truth
1783335103915100000,111714,72361,188917,141709,177071,1330,truth
1783335103915100000,111736,72386,188917,141709,177071,1330,truth
